Empresas-Periodo,Hyundai,Honda,General Motors,Volkswagen,Ford,Tesla,Mazda,BMW,Toyota,Volvo
mar-22,691.3,630,251.6,3488.5,344.99,17788.86,143.77,1803,3749.07,132.79
feb-22,779.08,620,314.9,4334.24,424.45,19135.27,149.91,2089.38,4105,154.96
ene-22,794.45,632,369.98,4397.02,446.87,24529.35,148.16,2221.16,4152.89,181.3
dic-21,754.94,605.23,352.43,4250,421.23,23660.19,154.52,2244.63,3780.01,162.64
nov-21,765.92,630,333.98,4690,370.94,24949.34,170.99,2069.92,3635.26,138.94
oct-21,761.53,611.33,303.91,4570.23,290,15855.17,158.91,1970.73,3440.15,145.74
sep-21,805.42,637.55,271.75,4803,261.89,14680.75,163.08,1854.55,3500.65,119.62
ago-21,866.87,655,311.07,4803.37,276.34,14097.81,172.3,1936.63,3693.62,136.09
jul-21,943.68,645,317.63,5050,299,13551,170.21,2034.5,3505,160.67
jun-21,899.79,650,326.91,5706.49,295.57,12457.09,156.06,2223.01,3518,152.33
may-21,877.84,615.72,331.22,4992.51,234.58,13806.68,139.16,1997.13,3064.49,176.03
abr-21,862.48,600,346.13,5850,258.5,14112.46,149.91,2066,3119.8,167.47
