Periodo/Empresa,Hyundai,Honda,General Motors,Volkswagen,Ford,Tesla,Mazda,BMW,Toyota,Volvo
feb - mar,-0.112676056,0.016129032,-0.201027631,-0.195129942,-0.187206974,-0.070362739,-0.040957908,-0.137064584,-0.086706456,-0.143069179
ene - feb ,-0.019337017,-0.018987342,-0.148877915,-0.014277852,-0.050171191,-0.219903096,0.011811555,-0.059329359,-0.011531729,-0.14528406
dic - ene ,0.052325581,0.044231119,0.049800556,0.034592941,0.060869359,0.036735123,-0.04115972,-0.010456066,0.098645242,0.114731923
nov - dic,-0.014326648,-0.03931746,0.055229592,-0.093816631,0.135574486,-0.051670706,-0.096321422,0.084404228,0.039818335,0.170577228
oct - nov ,0.005763689,0.03053997,0.09896416,0.026206559,0.279103448,0.573577578,0.076017872,0.050331603,0.05671555,-0.046658433
sept - oct,-0.054495913,-0.041126186,0.118357283,-0.04846346,0.107335141,0.079997275,-0.025570272,0.062645925,-0.017282505,0.218358134
ago - sept ,-0.070886076,-0.026641221,-0.126404449,-7.70E-05,-0.052290656,0.041349685,-0.053511317,-0.042382902,-0.05224414,-0.121022853
jul - ago,-0.081395349,0.015503876,-0.020653286,-0.048837624,-0.075785953,0.040352004,0.01227895,-0.048105186,0.053814551,-0.152984378
jun - jul ,0.048780488,-0.007692308,-0.028408257,-0.115042697,0.011604696,0.087814249,0.090670255,-0.084799439,-0.003695281,0.054749557
may - jun ,0.025,0.055674657,-0.012991561,0.143010229,0.25999659,-0.097749061,0.121442943,0.113102302,0.147988735,-0.134636142
abr - may,0.017811705,0.0262,-0.043076923,-0.146579487,-0.092533849,-0.021667378,-0.071709692,-0.033334947,-0.017728701,0.051113632
